stdout: else_statement -> BlockStatement
using GPU
p
path org.mockito.internal.configuration.injection.FinalMockCandidateFilter
thenInject
Position(line=23, column=24)
FOUND IT!
[{'bugid': 'Mockito-15', 'treeroot': <Searchnode.Node object at 0x7f1eb30e3c10>, 'troot': <Searchnode.Node object at 0x7f1eb30e3c10>, 'oldcode': '                            new FieldSetter(fieldInstance, field).set(matchingMock);', 'filepath': 'buggy/Mockito-15/src/org/mockito/internal/configuration/injection/FinalMockCandidateFilter.java', 'subroot': <Searchnode.Node object at 0x7f1eb30e3290>, 'vardic': {'thenInject_ter': 'meth0'}, 'typedic': {}, 'idss': 'Mockito-15', 'classname': 'org.mockito.internal.configuration.injection.FinalMockCandidateFilter', 'precode': "package org.mockito.internal.configuration.injection;\n\nimport org.mockito.exceptions.base.MockitoException;\nimport org.mockito.internal.util.reflection.FieldSetter;\n\nimport java.lang.reflect.Field;\nimport java.util.Collection;\n\n/**\n * This node returns an actual injecter which will be either :\n *\n * <ul>\n * <li>an {@link OngoingInjecter} that do nothing if a candidate couldn't be found</li>\n * <li>an {@link OngoingInjecter} that will try to inject the candidate trying first the property setter then if not possible try the field access</li>\n * </ul>\n */\npublic class FinalMockCandidateFilter implements MockCandidateFilter {\n    public OngoingInjecter filterCandidate(final Collection<Object> mocks, final Field field, final Object fieldInstance) {\n        if(mocks.size() == 1) {\n            final Object matchingMock = mocks.iterator().next();\n\n            return new OngoingInjecter() {\n                public boolean thenInject() {\n                    try {", 'aftercode': '                    } catch (Exception e) {\n                        throw new MockitoException("Problems injecting dependency in " + field.getName(), e);\n                    }\n                    return true;\n                }\n            };\n        }\n\n        return new OngoingInjecter() {\n            public boolean thenInject() {\n                return false;\n            }\n        };\n\n    }\n}', 'tree': 'MethodDeclaration modifiers public_ter ^ ^ return_type BasicType name boolean_ter ^ ^ ^ ^ name meth0 ^ ^ body TryStatement block StatementExpression expression ClassCreator selectors MethodInvocation arguments MemberReference member matchingMock_ter ^ ^ ^ ^ member set_ter ^ ^ ^ ^ type ReferenceType name FieldSetter_ter ^ ^ ^ ^ arguments MemberReference member fieldInstance_ter ^ ^ ^ MemberReference member field_ter ^ ^ ^ ^ ^ ^ ^ ^ catches CatchClause parameter CatchClauseParameter types Exception_ter ^ ^ name e_ter ^ ^ ^ ^ block ThrowStatement expression ClassCreator type ReferenceType name MockitoException_ter ^ ^ ^ ^ arguments BinaryOperation operator +_ter ^ ^ operandl Literal value <string>_ter ^ ^ ^ ^ operandr MethodInvocation qualifier field_ter ^ ^ member getName_ter ^ ^ ^ ^ ^ MemberReference member e_ter ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ReturnStatement expression Literal value true_ter ^ ^ ^ ^ ^ ^ ^ ', 'prob': [2, 2, 2, 3, 3, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4], 'mode': 0, 'line': 25, 'isa': False, 'fl_score': 1}]
before@0 batch0 x: 0: root ^  ; []
after@0 batch0 x: 0: root ^  ; []
copynode 0:  root modified ^ ^ ; ['root -> modified']
copynode 0:  root add ^ ^ ; ['root -> add']
copynode 0:  root return_type ^ ^ ; ['root -> return_type']
copynode 0:  root ReturnStatement ^ ^ ; ['root -> ReturnStatement']
copynode 0:  root ^ ; ['root -> End']
copynode 0:  root StatementExpression ^ ^ ; ['root -> StatementExpression']
copynode 0:  root parameters ^ ^ ; ['root -> parameters']
copynode 0:  root IfStatement ^ ^ ; ['root -> IfStatement']
copynode 0:  root MemberReference-MemberReference member fieldInstance_ter ^ ^ ^  ^ ^ ; ['copy-MemberReference']
copynode 0:  root member-member set_ter ^ ^  ^ ^ ; ['copy-member']
before@1 batch0 x: -12.944635391235352: root member-member set_ter ^ ^  ^ ^  ; ['copy-member']
after@1 batch0 x: -12.944635391235352: root member-member set_ter ^ ^  ^ ^  ; ['copy-member']
copynode -0.16654786467552185:  root modified ^ StatementExpression ^ ^ ; ['root -> modified', 'root -> StatementExpression']
copynode -1.8760435581207275:  root add ^ IfStatement ^ ^ ; ['root -> add', 'root -> IfStatement']
copynode -1.8760435581207275:  root add ^ StatementExpression ^ ^ ; ['root -> add', 'root -> StatementExpression']
copynode -0.16654786467552185:  root modified ^ MemberReference-MemberReference member fieldInstance_ter ^ ^ ^  ^ ^ ; ['root -> modified', 'copy-MemberReference']
copynode -0.16654786467552185:  root modified ^ member-member set_ter ^ ^  ^ ^ ; ['root -> modified', 'copy-member']
copynode -0.16654786467552185:  root modified ^ MemberReference-MemberReference member field_ter ^ ^ ^  ^ ^ ; ['root -> modified', 'copy-MemberReference']
copynode -0.16654786467552185:  root modified ^ MemberReference-MemberReference member matchingMock_ter ^ ^ ^  ^ ^ ; ['root -> modified', 'copy-MemberReference']
copynode -0.16654786467552185:  root modified ^ IfStatement ^ ^ ; ['root -> modified', 'root -> IfStatement']
copynode -0.16654786467552185:  root modified ^ ReturnStatement ^ ^ ; ['root -> modified', 'root -> ReturnStatement']
copynode -1.8760435581207275:  root add ^ ReturnStatement ^ ^ ; ['root -> add', 'root -> ReturnStatement']
copynode -0.16654786467552185:  root modified ^ ^ ; ['root -> modified', 'root -> End']
copynode -1.8760435581207275:  root add ^ ReturnStatement_ter ^ ^ ; ['root -> add', 'root -> ReturnStatement_ter']
copynode -1.8760435581207275:  root add ^ AssertStatement ^ ^ ; ['root -> add', 'root -> AssertStatement']
copynode -1.8760435581207275:  root add ^ WhileStatement ^ ^ ; ['root -> add', 'root -> WhileStatement']
copynode -1.8760435581207275:  root add ^ control ^ ^ ; ['root -> add', 'root -> control']
copynode -1.8760435581207275:  root add ^ LocalVariableDeclaration ^ ^ ; ['root -> add', 'root -> LocalVariableDeclaration']
copynode -0.16654786467552185:  root modified ^ ReturnStatement_ter ^ ^ ; ['root -> modified', 'root -> ReturnStatement_ter']
copynode -1.8760435581207275:  root add ^ BreakStatement_ter ^ ^ ; ['root -> add', 'root -> BreakStatement_ter']
copynode -1.8760435581207275:  root add ^ ^ ; ['root -> add', 'root -> End']
copynode -0.16654786467552185:  root modified ^ LocalVariableDeclaration ^ ^ ; ['root -> modified', 'root -> LocalVariableDeclaration']
